	1999	1999.25	1999.5	1999.75	2000	2000.25	2000.5	2000.75	2001	2001.25	2001.5	2001.75	2002	2002.25	2002.5	2002.75	2003	2003.25	2003.5	2003.75	2004	2004.25	2004.5	2004.75	2005	2005.25	2005.5	2005.75	2006	2006.25	2006.5	2006.75	2007	2007.25	2007.5	2007.75	2008	2008.25	2008.5	2008.75	2009	2009.25	2009.5	2009.75	2010	2010.25	2010.5	2010.75	2011	2011.25	2011.5	2011.75	2012	2012.25	2012.5	2012.75	2013	2013.25	2013.5	2013.75	2014	2014.25	2014.5	2014.75	2015	2015.25	2015.5	2015.75	2016	2016.25	2016.5	2016.75	2017	2017.25	2017.5	2017.75	2018	2018.25	2018.5	2018.75	2019	2019.25	2019.5	2019.75	2020
DataVar[ROUH]	37111.4	33315.7	29520	25724.3	21928.6	35141.6	48354.5	61567.5	74780.5	83272.6	91764.8	100257	108749	95458	82166.9	68875.9	55584.8	71178.9	86773.1	102367	117961	106332	94702	83072.3	71442.6	75347.2	79251.7	83156.3	87060.8	102939	118817	134695	150573	152125	153678	155230	156783	173702	190622	207541	224461	250068	275675	301281	326888	282049	237211	192372	147533	151666	155798	159931	164063	162182	160300	158419	156537	202861	249184	295508	341831	322519	303207	283895	264583	239818	215053	190288	165522	152614	139706	126797	113889	115478	117067	118656	120245	108314	96383.6	84452.9	72522.2	72514.3	72506.5	72498.6	72490.8
DataVar[ROUT]	807528.4	800498.7	793468	786438.3	779407.6	880524.6	981641.5	1082757.5	1183880.5	1331572.6	1479274.8	1626967	1774669	1739458	1704246.9	1669035.9	1633824.8	1706418.9	1779023.1	1851627	1924221	1899672	1875132	1850582.3	1826032.6	1833507.2	1840971.7	1848446.3	1855910.8	1921409	1986897	2052395	2117883	2105835	2093788	2081730	2069683	2118132	2166592	2215051	2263501	2314478	2365445	2416421	2467388	2362069	2256751	2151432	2046113	2150936	2255758	2360581	2465403	2372142	2278870	2185609	2092347	2158621	2224894	2291168	2357441	2379639	2401847	2424045	2446253	2420818	2395383	2369938	2344502	2238034	2131556	2025077	1918609	1914688	1910777	1906856	1902945	1840644	1778343.6	1716042.9	1653742.2	1764984.3	1876226.5	1987458.6	2098700.8
DataVar[TxBp]	0	0	0	0	0	0	0	0	0	0	0	0	14.4839	1144.52	3187.45	5899.34	8817.32	12700.5	16468.7	20170.4	23475	26030.1	30478.8	34281	41035.2	46737.5	52703.2	59280	66819.2	81165.5	93091.1	104879	120563	138196	151159	170039	185369	202186	215422	224573	234995	253989	261608	269193	281038	303469	313807	321082	321016	334161	338101	348408	355563	371476	378030	386970	398268	417634	425983	440797	462211	470752	475084	479999	491316	510526	518085	529812	545177	563275	574418	580307	596624	626296	645385	649805	670955	702174	709545	729808	750450	775468	794478	807408	815070
DataVar[TxMt]	159054	162414	165775	169136	172497	179122	185748	192373	198999	205624	212249	218875	225500	225876	226252	226627	227003	230493	233982	237472	240961	239680	238399	237117	235836	241565	247294	253023	258752	259735	260718	261701	262684	264031	265378	266724	268071	271848	275624	279401	283177	287294	291410	295527	299643	301342	303042	304741	306440	307760	309079	310399	311718	316366	321013	325661	330308	333625	336942	340259	343576	346893	350210	353526	356843	353993	351143	348293	345443	354799	364155	373511	382867	386077	389288	392498	395709	398919	402129	405340	408550	384295	360041	335786	311531
DataVar[TxVi]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.693	217.385	326.078	434.771	711.958	989.146	1266.33	1543.52	1905.21	2266.9	2628.58	2990.27	3419.13	3847.98	4276.83	4705.69	5200.58	5695.48	6190.38	6685.27	7726.31	8767.35	9808.4	10849.4	13019.4	15189.3	17359.2	19529.1	21386	23242.9	25099.7	26956.6	27879.1	28801.6	29724.1	30646.6	31041.8	31436.9	31832	32227.2	31399.7	30572.1	29744.6	28917.1
NormErr[HUD]	0.25	0.164634	0.100679	0.0480114	0.000435484	0.00417185	0.0100313	0.0173273	0.0256929	0.0245333	0.0232652	0.0217305	0.0197975	-0.0238337	-0.0660484	-0.106795	-0.146279	-0.0900031	-0.0350764	0.0183398	0.0702213	0.0107912	-0.0484634	-0.107148	-0.16513	-0.102194	-0.0398386	0.0215199	0.0818316	0.008573	-0.0636561	-0.134493	-0.203887	-0.151003	-0.100349	-0.0520786	-0.00626449	0.0466021	0.0967529	0.144168	0.188836	0.170909	0.153895	0.13754	0.121725	0.153822	0.18174	0.205688	0.215076	0.156048	0.114344	0.0807415	0.0514974	0.0457603	0.0409404	0.0366005	0.0325678	0.05427	0.075269	0.0956634	0.115554	0.0946095	0.0732721	0.0518262	0.030545	0.0228149	0.015863	0.00985415	0.00482261	0.0137028	0.0241156	0.0356743	0.0484518	-0.000801653	-0.0481939	-0.0939318	-0.138246	-0.189944	-0.240578	-0.290349	-0.339465	-0.298992	-0.258411	-0.217415	-0.175986
NormErr[InHD]	-0.0893601	-0.0678037	-0.0437781	-0.0189348	0.00620385	0.0980089	0.190275	0.282889	0.375771	0.29757	0.218347	0.138286	0.0575297	0.00254964	-0.0523846	-0.10734	-0.162399	-0.0757951	0.011043	0.0980871	0.18533	0.162054	0.138536	0.114872	0.0911137	-0.0290727	-0.149487	-0.270275	-0.391486	-0.363417	-0.335191	-0.306781	-0.278177	-0.242107	-0.206116	-0.170194	-0.134319	-0.00062137	0.133502	0.268104	0.403236	0.264191	0.124887	-0.014804	-0.154968	-0.0993139	-0.0434778	0.0126394	0.0690747	-0.0242428	-0.117385	-0.210976	-0.305267	-0.287864	-0.270231	-0.252398	-0.23438	-0.0325998	0.171394	0.37774	0.586549	0.450826	0.314337	0.176736	0.0376983	0.114184	0.193524	0.275757	0.360868	0.162869	-0.0395952	-0.247447	-0.461309	-0.302553	-0.140046	0.0259684	0.195267	0.100543	0.00273886	-0.0978827	-0.201096	-0.194055	-0.186985	-0.179854	-0.17268
NormErr[InHO]	1.09646	1.01771	0.981965	0.963055	0.948091	1.06104	1.16449	1.25754	1.34014	1.16002	0.97826	0.797856	0.621021	0.469557	0.331675	0.205878	0.0903286	0.11089	0.128684	0.143726	0.156262	0.092208	0.0286512	-0.0334234	-0.0935554	-0.113809	-0.130636	-0.145121	-0.15763	-0.148238	-0.140929	-0.135095	-0.130576	-0.164027	-0.197498	-0.230972	-0.264199	-0.183899	-0.11029	-0.0425639	0.0198746	0.00784725	-0.00193612	-0.00989752	-0.0162524	0.0218063	0.0564842	0.0883986	0.116335	0.0766503	0.0448648	0.0186571	-0.00329419	0.0065456	0.0198963	0.0364991	0.0562451	0.0606427	0.0687377	0.0802639	0.095029	0.0111928	-0.0731099	-0.158823	-0.246767	-0.17781	-0.100402	-0.0136014	0.0833912	-0.0214218	-0.133789	-0.25926	-0.402126	-0.274755	-0.133191	0.023743	0.197391	0.0905922	-0.0367756	-0.185696	-0.357617	-0.319093	-0.278901	-0.236423	-0.19149
NormErr[InHR]	0.451876	0.401355	0.378329	0.367254	0.360573	0.452182	0.540148	0.624092	0.704076	0.575612	0.448048	0.32259	0.200037	0.113072	0.0322527	-0.0431207	-0.114072	-0.0769467	-0.0408393	-0.00584542	0.0281186	-0.0154088	-0.0596638	-0.103909	-0.147821	-0.167805	-0.185275	-0.201014	-0.215294	-0.189288	-0.164504	-0.140593	-0.117491	-0.102397	-0.0897784	-0.0796661	-0.0719626	0.0481535	0.163518	0.274524	0.381523	0.238528	0.10077	-0.0328462	-0.163158	-0.125253	-0.0900351	-0.0571776	-0.122614	-0.134894	-0.148098	-0.161968	-0.176245	-0.15077	-0.123515	-0.0943136	-0.0629474	0.0146806	0.0974253	0.185828	0.280406	0.183114	0.0844366	-0.0164125	-0.120227	-0.0363813	0.057743	0.163411	0.281703	0.211241	0.137933	0.057072	-0.0352199	0.0594724	0.16352	0.278146	0.404699	0.233807	0.0265787	-0.220518	-0.511724	-0.472925	-0.431696	-0.387432	-0.339885
NormErr[InHT]	0.302965	0.292532	0.29587	0.304826	0.315291	0.415136	0.512186	0.605999	0.696413	0.580878	0.464578	0.348513	0.233422	0.148139	0.0670814	-0.0100904	-0.0839739	-0.0316411	0.0190248	0.0679338	0.115131	0.0727646	0.0296357	-0.0136712	-0.0568734	-0.109176	-0.158532	-0.205742	-0.251133	-0.228452	-0.207035	-0.186606	-0.167118	-0.161368	-0.157341	-0.155076	-0.154475	-0.0456736	0.0583339	0.157916	0.253361	0.157944	0.0671059	-0.0198673	-0.103485	-0.0611964	-0.0213943	0.016262	0.00863047	-0.0287189	-0.0636501	-0.0968616	-0.128715	-0.110508	-0.0903561	-0.068261	-0.0441583	0.0255992	0.0991946	0.176955	0.259195	0.160804	0.061521	-0.0394708	-0.142918	-0.0664843	0.018039	0.111417	0.214218	0.101223	-0.0185109	-0.149514	-0.295203	-0.172853	-0.0398361	0.104438	0.260591	0.136739	-0.00539374	-0.166057	-0.345714	-0.133704	0.0950856	0.341553	0.606258
